# peelcost: trials=8 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
32000,1280,0,ks_bmax_top16,lt_m1_c16,dense,190,0,190,6,8,1352.7500,1418,1352.7500,113221.8750,81221.8750,45201279.8750,1548.7500,80475.0000,49560000.0000,1200376.0000,9292.5000,50931365.3750
32000,1280,0,ks_bmax_top16,lt_m1_c16,ldpcdense,190,190,0,6,8,1352.7500,1418,1352.7500,113221.8750,81221.8750,45201279.8750,1548.7500,96190.0000,49560000.0000,1200376.0000,9292.5000,50947080.3750
32000,1280,0,ks_bmax_top16,lt_m1_c32,dense,190,0,190,6,8,784.0000,811,784.0000,133011.6250,101011.6250,25804291.3750,980.0000,80475.0000,31360000.0000,480511.8750,5880.0000,32027878.5000
32000,1280,0,ks_bmax_top16,lt_m1_c32,ldpcdense,190,190,0,6,8,784.0000,811,784.0000,133011.6250,101011.6250,25804291.3750,980.0000,96190.0000,31360000.0000,480511.8750,5880.0000,32043593.5000
32000,1280,0,ks_bmax_top16,lt_m1_c64,dense,190,0,190,6,8,433.3750,511,433.3750,153691.8750,121691.8750,14179256.2500,629.3750,80475.0000,20140000.0000,198931.6875,3776.2500,20544874.8125
32000,1280,0,ks_bmax_top16,lt_m1_c64,ldpcdense,190,190,0,6,8,433.3750,511,433.3750,153691.8750,121691.8750,14179256.2500,629.3750,96190.0000,20140000.0000,198931.6875,3776.2500,20560589.8125
32000,1280,0,ks_bmax_top16,lt_m2_c96,dense,190,0,190,6,8,299.8750,348,299.8750,167009.3750,135009.3750,9821616.2500,495.8750,80475.0000,15868000.0000,123286.9375,2975.2500,16209746.5625
32000,1280,0,ks_bmax_top16,lt_m2_c96,ldpcdense,190,190,0,6,8,299.8750,348,299.8750,167009.3750,135009.3750,9821616.2500,495.8750,96190.0000,15868000.0000,123286.9375,2975.2500,16225461.5625
32000,1280,0,ks_bmax_top16,lt_m2_c128,dense,190,0,190,6,8,241.1250,271,241.1250,174590.5000,142590.5000,7917078.1250,437.1250,80475.0000,13988000.0000,95712.3125,2622.7500,14309400.5625
32000,1280,0,ks_bmax_top16,lt_m2_c128,ldpcdense,190,190,0,6,8,241.1250,271,241.1250,174590.5000,142590.5000,7917078.1250,437.1250,96190.0000,13988000.0000,95712.3125,2622.7500,14325115.5625
