# dispatch_profile: name=v1 bands=1 band0=k[2,64000]:mixed-p244-frozen-10x2-d4
# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
# encode_timing_phases,N=461,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9314,median_runtime_ns=30,median_solve_build_ns=10405,median_solve_peel_ns=29325,median_solve_project_ns=16274,median_solve_residual_ns=36325,median_solve_backsub_ns=8312
461,2,periodic,3,0,1,1,0,0,0.00000000,58.000,58,12.000,12,12.000,12,0,0.228,0.026,0.108,0.026,0.058,0.010,0,8884.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=462,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=118448,seconds_per_k_symbols=0.000118448,symbols_per_sec=3900445.77,median_init_ns=118428,median_symbols_ns=20,sink=0
# encode_timing_phases,N=462,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9434,median_runtime_ns=30,median_solve_build_ns=10866,median_solve_peel_ns=30796,median_solve_project_ns=16254,median_solve_residual_ns=42634,median_solve_backsub_ns=8423
462,2,periodic,3,0,1,1,0,0,0.00000000,64.000,64,12.000,12,12.000,12,0,0.161,0.015,0.054,0.022,0.061,0.010,0,8784.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=463,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=108713,seconds_per_k_symbols=0.000108713,symbols_per_sec=4258920.28,median_init_ns=108683,median_symbols_ns=30,sink=0
# encode_timing_phases,N=463,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9544,median_runtime_ns=30,median_solve_build_ns=10145,median_solve_peel_ns=28593,median_solve_project_ns=15673,median_solve_residual_ns=35914,median_solve_backsub_ns=8333
463,2,periodic,3,0,1,1,0,0,0.00000000,56.000,56,12.000,12,12.000,12,0,0.157,0.014,0.056,0.023,0.054,0.010,0,8494.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=464,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=137196,seconds_per_k_symbols=0.000137196,symbols_per_sec=3382022.8,median_init_ns=137176,median_symbols_ns=30,sink=0
# encode_timing_phases,N=464,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10856,median_runtime_ns=30,median_solve_build_ns=11467,median_solve_peel_ns=39880,median_solve_project_ns=19179,median_solve_residual_ns=44998,median_solve_backsub_ns=8993
